page,result,general_result,marriage_result,trade_result,category,label
553,حتما انجام بده,بسیار خوب است ان‌شاءالله به همه‌ی اهدافی که در نظر دارید خواهید رسید با توکل به‌خدا اقدام کنید.,موردی از هر نظر مناسب است ان‌شاءالله که مبارک است صدقه فراموش نشود.,سود خوبی در انتظار شماست با توکل به‌خدا اقدام کنید صدقه فراموش نشود.,2,VeryGood
555,هرگز انجام نده,بسیار بد است در صورت انجام به‌شدت پشیمان خواهید شد به‌هیچ‌وجه انجام ندهید.,اصلا مورد مناسبی نیست و زندگی سراسر دعوا و درگیری خواهید داشت ترک شود.,ضرر هنگفتی را متحمل ‌می‌شوید و به شدت پشیمان خواهید شد ترک شود.,-2,VeryBad
557,هرگز انجام نده,بسیار بد است به‌هیچ‌وجه انجام ندهید که به‌شدت پشیمان خواهید شد. حتما ترک شود.,هیچ نقطه‌ی مشترکی وجود ندارد و در صورت انجام هر لحظه از خدا طلب مرگ خواهید کرد ترک شود.,ضرر هنگفت مالی و اعتباری خواهد داشت حتما ترک شود والا دچار پشیمانی شدیدی خواهید شد.,-2,VeryBad
559,اختیار با توست,میانه خوب است اگر شرایط مربوط را رعایت کنید خوب والا ترکش بهتر است.,این ازدواج طی یک شرایطی خوب است والا ترکش کنید.,طی‌یک شرایطی خوب والا بد است.,0,Neutral
561,اختیار با توست,میانه خوب است در صورتی كه شرایطی كه وجود دارد رعایت شود خوب است والا تركش به صواب نزدیكتر است.,میانه خوب است شرایطی که وجود دارد رعایت شود زندگی خوبی خواهید داشت والا...,اگر شرایط را رعایت کنید سود خوبی خواهید داشت والا ترکش کنید.,0,Neutral
563,انجام بده,خوب است برای مشورت افرادی را در نظر بگیرید كه توانایی راهنمایی شما را دارند و با هر كسی در این رابطه صحبت نكنید.,خوب است با توکل به‌خدا اقدام کنید و توصیه های بالا را رعایت کنید.,خوب است سود خوبی نصیبتان خواهد شد توصیه‌های بالا را رعایت کنید.,1,Good
565,هرگز انجام نده,بسیار بد است اصلا فكرش را از سر بیرون كنید كه گوش‌مالی خواهید شد.,به‌هیچ‌وجه انجام ندهید که در صورت انجام هر لحظه از خدا طلب مرگ خواهید کرد,ضرر مالی و اعتباری هنگفتی خواهید کرد که دیگر راه جبرانی ندارد حتما ترک شود.,-2,VeryBad
567,هرگز انجام نده,بسیار بد است در صورت انجام به‌شدت پشیمان خواهید شد حتما ترک شود.,مورد مناسبی نیست دچار مشکلات عدیده‌ای خواهید شد.,ضرر مالی و اعتباری دارد حتما ترک شود.,-2,VeryBad
569,هرگز انجام نده,بسیار بد است به چه‌كنم چه‌كنم گرفتار می‌شوید حتما ترك شود,به‌هیچ‌وجه مورد مناسبی نیست به چه‌کنم چه‌کنم گرفتار می‌شوید و راه چاره‌ای هم ندارید ترک شود.,به چه‌کنم چه‌کنم گرفتار می‌شوید حتما ترک شود.,-2,VeryBad
571,انجام بده,خوب است ان‌شاءالله به اهدافتان خواهید رسید. با توكل به‌خدا اقدام كنید.,مورد مناسبی است ان‌شاءالله مبارک است از هر نظر باعث آرامش است.,سود خوبی خواهید برد. با توکل به‌خدااقدام کنید صدقه فراموش نشود.,1,Good
573,انجام نده,بد است در صورت انجام دچار پشیمانی خواهید شد ترك شود.,بد است گول ظاهر افراد را نخورید که ظاهر افراد با باطنشان تفاوت بسیاری دارد ترک شود.,دچار افراد دو رویی خواهید شد و در صورت انجام ضرر هنگفتی را متحمل می‌شوید ترک شود.,-1,Bad
575,حتما انجام بده,بسیار خوب است از مشكلات نهراسید این كار ارزش زحمت را دارد با توكل به‌خدا انجام دهید.,مورد خوب و مناسبی است از مشکلات هم نترسید ارزشش را دارد ابتدای زندگی هم اختلافاتی دیده می شود ولی همه حل می‌شود با توکل به‌خدا اقدام کنید.,سود خوبی خواهید کرد و بعد از آن است که دیگر مشکلات و زحمتهایی که کشیده‌اید بنظرتان ناچیز می‌آید با توکل به‌خدا اقدام کنید.,2,VeryGood
577,هرگز انجام نده,بسیار بد است این كار مثل تكیه زدن بر باد است به‌هیچ‌وجه انجام ندهید.,به‌هیچ‌وجه در شأن شما نیستند تکیه بر باد نزنید پشیمانی شدید دارد حتما ترک شود.,ضرر مالی و اعتباری شدید دارد طرفهای شما آنهایی نیستند که روی حرفهایشان بمانند حتما ترک شود.,-2,VeryBad
579,حتما انجام بده,بسیار خوب است با توكل به‌خدا به همه‌ی اهدافتان خواهید رسید و تمامی مشكلاتتان حل خواهد شد.,مورد از هر نظر مناسبی است با توکل به‌خدا انجام دهید باعث آرامش روحی و پیشرفت مالی شما خواهید بود صدقه فراموش نشود.,سود خوبی نصیبتان خواهد شد با توکل به‌خدا اقدام کنید و صدقه فراموش نشود.,2,VeryGood
581,انجام نده,بد است دچار مشكلات عدیده‌ای خواهید شد و در آخر هم به اهدافتان نخواهید رسید.,مورد مناسبی نیست به‌هیچ‌وجه در شأن شما نیستند ترک شود.,بد است بعد از زحمتهای زیاد در آخر هم نتیجه‌ی عکس از کارتان خواهید گرفت.,-1,Bad
583,حتما انجام بده,بسیار خوب است باعث آرامش و آسایش شما خواهد شد با توكل به‌خدا اقدام كنید.,مورد بسیار مناسبی است و باعث آرامش روحی و پیشرفت مالی شما خواهد شد ان‌شاءالله که مبارک است.,سود خوبی نصیبتان خواهد شد با توکل به‌خدا اقدام کنید و صدقه فراموش نشود.,2,VeryGood
585,انجام بده,خوب است البته مشكلات و سختیهایی دیده می‌شود اما با صبر و حوصله حل می‌شود و نتیجه‌ی دلخواه حاصل می‌شود.,مورد مناسبی است به‌شرط آنکه در مشکلات و گرفتاریهای زندگی صبر و حوصله داشته باشید و از عصبانیت و درگیری پرهیز کنید.,مشکلاتی دیده می‌شود زحمت زیادی همه باید بکشید ولی سود خوبی هم نصیبتان می‌شود که جبران این زحمات را می‌کند.,1,Good
587,انجام بده,خوب است مشكلاتی وجود دارد ولی با صبر و حوصله، قابل حل است و نتیجه مطلوب حاصل می شود.,سختیها و مشکلات نمک زندگی است و با این مسائل است که انسان ارزش زندگیش را می‌فهمد با توکل به‌خدا اقدام کنید.,از مشکلات نباید ترسید خصوصا وقتی نتیجه‌ی خوبی حاصل رنجها و سختیها باشد.,1,Good
589,هرگز انجام نده,بسیار بد است دچار مشكلات و سختیهایی خواهید شد و در آخر هم به هیچ كدام از اهدافتان نخواهید رسید.,بسیار بد است به‌هیچ‌وجه مورد مناسبی نیست به چه‌کنم چه‌کنم گرفتار خواهید شد حتما ترک شود.,ضرر هنگفتی خواهید کرد و اعتبارتان نیز زیر سوال می‌رود حتما ترک شود.,-2,VeryBad
591,اختیار با توست,میانه خوب است با در نظر گرفتن شرایط و بررسی كامل جوانب خوب والا بد است.,با رعایت جوانب و تمام کردن همه‌ی صحبتها خوب و الا بد است.,اگر شرایط را رعایت کنید و جوانب کار را در نظر بگیرید خوب است والا بد است.,0,Neutral
593,حتما انجام بده,بسیار خوب است ان‌شاءالله به همه‌ی اهدافتان خواهید رسید با توكل به‌خدا انجام دهید.,مورد از هر نظر مناسبی است و باعث آرامش روحی و پیشرفت مالی شما خواهد شد با توکل به‌خدا انجام دهید.,سود خوبی نصیبتان خواهد شد و در افزایش اعتبارتان موثر خواهد بود با توکل به‌خدا اقدام کنید.,2,VeryGood
595,انجام بده,خوب است ولی قدری زحمت دارد با توكل به‌خدا انجام دهید و با افراد خبره مشورت كنید.,خوب است دچار زحمت می‌شوید و مشکلاتی دیده می‌شود ولی عاقبت بخیر خواهید شد ان شاءالله.,خوب است مشکلاتی دیده می‌شود ولی نتیجه مطلوب و دلخواه بدست خواهد آمد به‌خدا توکل کنید و انجام دهید.,1,Good
597,انجام بده,خوب است ان‌شاءالله به اهدافتان خواهید رسید با توكل به‌خدا اقدام كنید و از مشكلات نهراسید.,ان‌شاءالله که مبارک است با توکل به‌خدا اقدام کنید و از مشکلات نهراسید.,ان‌شاءالله سود خوبی خواهید کرد به‌خدا توکل کنید و از مشکلات نهراسید.,1,Good
599,حتما انجام بده,بسیار خوب است با توكل به‌خدا انجام دهید ان‌شاءالله به تمامی اهدافتان خواهید رسید.,از هر جهت مورد مناسبی است با توکل به‌خدا انجام دهید باعث آسایش روحی و گشایش مالی شما خواهد شد.,سود خوبی نصیبتان خواهد شد و باعث افزایش اعتبارتان خواهد شد.,2,VeryGood
601,حتما انجام بده,بسیار خوب است با توکل به‌خدا اقدام کنید ان‌شاءالله به همه‌ی اهدافتان می‌رسید مراقب باشید که مرتکب حرام نشوید.,مورد مناسبی است و باعث آرامش و رفع گرفتاری‌ها از شما می‌شود با توکل به‌خدا انجام دهید.,سود خوبی نصیبتان می‌شود در هر کاری خدا را فراموش نکنید.,2,VeryGood
603,اختیار با توست,میانه است در صورتی که همه‌ی جوانب را رعایت کنید خوب است والا بد است.,در صورتی که همه‌ی جوانب را رعایت کنید و با تحقیق بیشتر همه چیز بر وفق مراد بود انجام دهید والا ترک شود.,تحقیق بیشتر کنید اگر مشکلی نبود اقدام کنید والا ترک کنید.,0,Neutral
